Country,Gas,Unit,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,Latitude,Longitude
Afghanistan,CH4,MtCO2e,16.37,15.91,15.61,15.83,15.96,16.3,15.82,15.63,15.5,15.2,13.39,12.9,11.61,11.18,10.73,10.5,10.51,10.2,8.35,9.56,10.78,9.96,9.4,8.67,7.83,7.47,7.21,7.13,7.02,6.74,33.7680065,66.2385139
Albania,CH4,MtCO2e,2.85,3.01,3.05,3.09,3.11,3.09,3.06,3.06,3.02,3.03,3.02,3.13,3.31,3.44,3.49,3.5,3.57,3.56,3.61,3.71,3.62,3.57,3.72,3.92,4.09,4.09,3.5,3.42,3.5,3.55,41.000028,19.9999619
Algeria,CH4,MtCO2e,92.36,94.4,93.03,93.02,89.63,89.3,85.52,85.78,81.33,82.8,82.34,85.58,85.28,85.69,84.3,81.19,80.52,74.19,72.28,74.86,71.37,68.78,67.38,65.7,62.49,58.29,57.34,54.14,53.58,52.7,28.0000272,2.9999825
Andorra,CH4,MtCO2e,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,42.5407167,1.5732033
Angola,CH4,MtCO2e,41.32,38.44,44.58,43.18,43.27,40.6,41.22,41.84,42.33,43.42,41.77,42.0,40.78,38.0,38.99,37.16,35.64,33.08,30.99,37.0,40.85,42.65,36.64,37.67,32.23,30.49,29.58,28.95,28.5,28.22,-11.8775768,17.5691241
Antigua and Barbuda,CH4,MtCO2e,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.15,0.15,0.14,0.14,0.13,0.13,17.2234721,-61.9554608
Argentina,CH4,MtCO2e,128.88,127.61,127.87,123.69,122.12,121.59,120.81,118.86,115.37,116.14,124.34,130.45,131.03,130.77,128.52,129.11,127.2,119.5,116.24,117.51,117.5,112.56,113.77,112.87,112.63,111.15,110.2,111.32,109.37,110.25,-34.9964963,-64.9672817
Armenia,CH4,MtCO2e,2.32,2.35,2.43,2.49,2.47,2.41,2.36,2.27,2.21,2.21,2.17,2.21,2.17,2.1,2.05,2.01,1.95,1.9,1.85,1.8,1.91,2.06,2.26,2.41,2.57,2.73,2.9,3.16,3.45,3.65,40.7696272,44.6736646
Australia,CH4,MtCO2e,135.8,141.41,141.83,119.21,134.8,138.7,127.03,163.4,164.56,115.16,125.88,120.7,137.7,142.45,121.4,140.73,123.59,161.55,167.17,158.25,152.62,136.0,134.08,131.56,137.05,138.45,137.46,138.9,140.91,141.07,-24.7761086,134.755
Austria,CH4,MtCO2e,6.92,7.04,7.27,7.31,7.39,7.44,7.63,7.77,7.92,8.11,8.07,8.25,8.33,8.49,8.63,8.81,8.9,9.05,9.17,9.28,9.54,9.67,9.95,10.27,10.45,10.93,11.33,11.65,11.85,11.85,47.59397,14.12456
Azerbaijan,CH4,MtCO2e,14.67,14.22,13.87,14.13,14.23,14.27,14.32,14.01,13.75,14.02,13.94,13.55,12.24,10.83,9.59,8.62,8.4,8.22,8.09,7.58,7.44,6.91,6.56,6.47,6.68,6.56,11.22,16.05,18.18,19.22,40.3936294,47.7872508
Bahamas,CH4,MtCO2e,0.22,0.22,0.25,0.23,0.22,0.21,0.24,0.2,0.23,0.2,0.21,0.22,0.19,0.19,0.2,0.2,0.17,0.18,0.18,0.26,0.24,0.24,0.23,0.23,0.19,0.18,0.18,0.18,0.18,0.17,24.7736546,-78.0000547
Bahrain,CH4,MtCO2e,17.41,16.9,16.61,16.24,15.8,15.48,15.03,14.14,13.9,13.48,12.86,12.35,11.7,11.09,10.48,9.98,9.74,9.42,9.09,8.77,8.22,7.67,7.08,6.43,5.89,5.39,5.25,5.07,4.82,4.82,26.1551249,50.5344606
Bangladesh,CH4,MtCO2e,92.66,92.07,92.43,89.91,89.84,88.84,88.12,87.03,86.3,85.59,83.95,82.54,79.56,78.69,77.07,75.12,75.13,73.97,72.58,72.19,71.47,69.33,69.66,69.11,69.38,68.52,67.55,67.23,66.41,66.31,24.4769288,90.2934413
Barbados,CH4,MtCO2e,2.35,2.34,2.34,2.33,2.32,2.32,2.31,2.31,2.3,2.29,2.29,2.28,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.28,2.27,2.26,2.25,2.24,2.23,2.22,2.18,2.15,2.11,2.07,13.1500331,-59.5250305
Belarus,CH4,MtCO2e,17.02,17.05,17.01,16.82,17.24,17.02,16.92,16.27,15.99,16.3,15.84,15.78,14.95,14.57,14.16,14.4,14.01,13.95,14.1,14.34,14.75,14.91,14.97,15.19,15.44,16.26,17.1,18.01,20.13,20.55,53.4250605,27.6971358
Belgium,CH4,MtCO2e,8.08,8.19,8.17,8.45,8.53,8.54,8.61,8.83,8.99,9.24,9.36,9.45,9.65,9.83,9.99,10.26,10.4,11.08,11.63,12.14,12.61,12.55,12.82,13.01,13.13,13.01,12.97,13.16,13.35,13.26,50.6402809,4.6667145
Belize,CH4,MtCO2e,0.56,0.52,0.54,0.5,0.48,0.47,0.57,0.51,0.68,0.54,0.48,0.44,0.42,0.33,0.3,0.25,0.36,0.26,0.23,0.27,1.31,2.41,3.41,4.49,5.54,6.63,6.51,6.4,6.26,6.15,16.8259793,-88.7600927
Benin,CH4,MtCO2e,3.94,3.84,3.73,3.69,3.54,3.47,3.52,3.3,3.25,3.12,3.18,3.08,3.2,3.12,3.27,2.83,2.87,2.97,2.71,3.65,3.67,3.92,3.19,3.19,2.76,2.94,2.77,2.76,2.72,2.63,9.5293472,2.2584408
Bhutan,CH4,MtCO2e,0.47,0.48,0.5,0.5,0.51,0.52,0.54,0.57,0.55,0.57,0.54,0.51,0.61,0.57,0.59,0.52,0.51,0.51,0.52,0.57,0.63,0.59,0.58,0.58,0.6,0.55,0.55,0.55,0.58,0.58,27.549511,90.5119273
Bolivia,CH4,MtCO2e,33.41,28.81,29.01,29.94,29.05,27.85,28.08,27.9,27.4,34.3,24.12,25.34,27.87,25.56,24.91,26.67,20.3,21.55,18.47,19.65,26.23,21.8,21.75,20.46,18.39,19.0,19.25,19.75,19.33,18.79,-17.0568696,-64.9912286
Bosnia and Herzegovina,CH4,MtCO2e,3.66,3.7,3.53,3.58,3.6,3.55,3.8,3.81,3.89,3.8,4.0,3.89,3.79,3.61,3.41,3.32,3.14,2.89,3.51,3.62,3.4,3.27,2.96,2.53,2.29,2.51,2.57,3.35,5.11,5.18,44.3053476,17.5961467
Botswana,CH4,MtCO2e,2.02,2.79,3.85,2.47,2.89,3.13,4.62,5.19,11.14,9.06,3.63,7.88,3.72,4.67,3.7,3.15,2.9,6.26,6.27,5.36,5.65,5.75,6.16,6.46,5.7,5.22,4.97,5.15,5.35,5.68,-23.1681782,24.5928742
Brazil,CH4,MtCO2e,435.88,426.39,435.98,436.21,434.96,426.63,419.57,424.63,420.56,427.55,400.98,399.07,405.27,399.48,406.19,397.21,379.86,364.28,342.1,329.29,334.3,333.88,317.47,308.66,315.71,309.75,303.42,302.35,296.99,287.86,-10.3333333,-53.2
