Country,Gas,Unit,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,Latitude,Longitude
Afghanistan,CO2,MtCO2e,6.23,6.22,4.94,5.46,5.7,4.63,5.74,7.83,8.68,7.23,5.0,3.69,1.89,1.89,1.67,1.16,1.34,1.16,0.86,-1.63,-1.58,-1.35,-1.29,-1.21,-1.15,-1.1,-1.05,-1.0,-0.16,-0.01,33.7680065,66.2385139
Albania,CO2,MtCO2e,4.59,4.87,4.91,4.24,3.78,3.98,3.59,3.51,4.01,3.33,3.1,2.97,3.02,2.9,2.92,3.13,2.95,2.65,2.12,3.36,3.16,1.98,1.66,2.13,2.12,2.26,2.25,2.41,4.25,6.17,41.000028,19.9999619
Algeria,CO2,MtCO2e,171.45,165.74,158.53,155.1,155.65,147.11,138.4,134.31,120.16,111.77,109.77,105.34,100.35,97.4,91.78,87.09,85.78,80.0,76.24,80.62,78.08,75.22,75.01,76.7,77.01,74.18,72.79,67.42,67.0,63.51,28.0000272,2.9999825
Andorra,CO2,MtCO2e,0.5,0.49,0.47,0.47,0.47,0.46,0.48,0.49,0.49,0.52,0.52,0.54,0.54,0.55,0.58,0.56,0.53,0.53,0.52,0.52,0.51,0.49,0.47,0.45,0.43,0.41,0.41,0.41,0.41,0.41,42.5407167,1.5732033
Angola,CO2,MtCO2e,60.8,59.55,59.84,65.36,67.25,65.23,62.56,59.47,59.47,58.41,56.75,54.88,52.58,52.17,51.42,53.07,52.38,51.31,51.57,26.5,27.9,27.04,26.43,25.71,22.99,21.57,19.54,17.15,16.95,16.84,-11.8775768,17.5691241
Antigua and Barbuda,CO2,MtCO2e,0.52,0.51,0.5,0.5,0.49,0.48,0.47,0.7,0.54,0.49,1.39,0.48,0.46,0.44,0.41,0.4,0.41,0.39,0.35,0.33,0.33,0.32,0.29,0.28,0.27,0.25,0.25,0.29,0.22,0.21,17.2234721,-61.9554608
Argentina,CO2,MtCO2e,197.8,206.6,209.03,212.87,251.12,245.17,248.83,243.54,242.21,262.05,251.39,262.05,257.63,249.72,240.81,236.2,222.48,212.28,220.05,176.6,178.83,177.0,170.44,166.87,157.21,156.23,154.58,152.25,150.23,144.64,-34.9964963,-64.9672817
Armenia,CO2,MtCO2e,6.21,5.75,5.41,5.1,5.27,5.4,5.42,5.64,4.86,4.46,4.63,5.81,5.33,4.61,4.58,3.89,3.62,3.24,3.73,3.69,3.24,3.6,3.47,2.71,3.64,2.87,5.17,11.03,20.82,19.98,40.7696272,44.6736646
Australia,CO2,MtCO2e,388.71,389.25,391.35,387.18,348.35,342.19,350.84,357.53,356.94,416.91,424.66,418.31,415.12,404.87,399.48,395.19,381.97,382.76,375.04,389.87,384.13,379.03,358.26,351.21,340.58,330.53,323.41,318.76,315.11,313.98,-24.7761086,134.755
Austria,CO2,MtCO2e,57.64,55.94,58.73,56.56,56.17,54.98,58.68,58.04,61.2,63.8,58.25,64.56,65.08,67.93,70.07,69.63,68.3,63.2,61.75,50.06,49.58,51.2,50.75,51.43,47.71,44.81,44.33,44.19,48.95,44.8,47.59397,14.12456
Azerbaijan,CO2,MtCO2e,33.59,30.81,30.04,30.32,28.92,29.4,28.09,27.26,24.43,22.5,23.68,28.63,25.81,28.67,28.23,26.5,26.75,24.36,24.58,26.11,24.54,24.91,24.91,25.61,30.9,31.94,46.47,62.04,50.48,51.9,40.3936294,47.7872508
Bahamas,CO2,MtCO2e,2.84,2.8,2.18,2.04,2.21,2.52,2.81,3.55,2.57,2.08,6.17,2.2,2.12,2.1,2.11,2.25,2.38,2.4,2.22,2.23,2.32,2.36,1.87,2.07,2.2,2.07,2.09,2.57,2.04,1.96,24.7736546,-78.0000547
Bahrain,CO2,MtCO2e,33.25,30.81,30.52,30.3,30.58,30.28,28.85,27.17,26.01,25.96,24.71,24.76,23.0,22.48,20.69,17.93,17.94,17.22,16.38,15.87,15.45,15.49,14.41,14.15,13.53,13.37,13.06,12.27,10.34,10.74,26.1551249,50.5344606
Bangladesh,CO2,MtCO2e,112.47,105.18,101.09,96.13,94.08,85.73,82.57,80.01,76.45,73.08,67.24,64.06,60.48,58.36,55.17,52.99,51.21,50.03,48.44,43.87,42.46,41.77,41.6,39.47,39.2,36.15,35.18,34.43,33.44,34.13,24.4769288,90.2934413
Barbados,CO2,MtCO2e,1.25,1.23,1.17,1.29,1.27,1.27,1.44,2.12,1.76,1.55,4.62,1.78,1.48,1.47,1.41,1.36,1.38,1.37,1.31,1.24,1.3,1.27,1.16,1.06,1.07,1.03,1.0,1.18,0.98,0.98,13.1500331,-59.5250305
Belarus,CO2,MtCO2e,36.16,37.43,34.56,33.79,38.4,43.08,43.59,43.53,42.14,36.63,32.35,35.54,32.78,34.28,31.98,31.26,28.02,27.21,27.28,20.41,22.4,24.52,26.37,25.79,24.75,31.81,43.42,54.99,63.26,66.87,53.4250605,27.6971358
Belgium,CO2,MtCO2e,93.17,93.82,92.88,94.38,92.77,87.78,94.23,92.91,94.12,103.71,96.65,103.92,101.57,105.63,107.6,111.01,112.49,107.84,115.33,113.27,111.6,115.49,112.72,115.53,110.65,110.99,106.2,108.42,110.05,105.4,50.6402809,4.6667145
Belize,CO2,MtCO2e,5.88,5.87,5.88,5.88,6.15,5.95,5.93,6.14,6.14,3.81,4.72,3.74,3.78,3.75,3.71,3.68,3.74,3.76,3.76,6.97,6.95,7.0,7.01,6.92,7.02,7.01,7.03,7.06,6.99,6.89,16.8259793,-88.7600927
Benin,CO2,MtCO2e,18.01,18.13,17.58,17.45,16.22,15.9,15.39,15.16,15.36,15.54,15.13,14.73,14.71,14.18,13.61,13.36,13.15,12.89,12.45,16.42,16.33,16.21,16.23,15.97,15.3,15.27,15.28,15.28,15.27,15.32,9.5293472,2.2584408
Bhutan,CO2,MtCO2e,-0.26,-0.27,-0.35,-0.39,-0.55,-0.61,-0.65,-0.67,-0.73,-6.21,-6.29,-6.31,-6.29,-6.29,-6.29,-6.32,-6.35,-6.37,-6.38,-6.4,-6.41,-6.41,-6.42,-6.41,-6.45,-6.47,-6.48,-6.49,-6.48,-6.53,27.549511,90.5119273
Bolivia,CO2,MtCO2e,89.72,90.61,90.13,89.39,80.54,80.19,78.52,77.2,76.39,72.06,70.9,70.0,68.98,68.13,66.95,66.38,65.98,65.19,64.94,84.52,84.54,84.98,85.44,84.6,84.89,85.83,86.52,87.47,87.19,86.73,-17.0568696,-64.9912286
Bosnia and Herzegovina,CO2,MtCO2e,19.33,20.86,20.94,20.61,15.9,15.78,18.13,18.24,20.02,21.19,20.93,21.11,19.23,18.26,16.57,15.92,15.22,14.9,14.11,17.21,13.77,14.02,11.75,7.44,6.63,6.42,16.66,19.22,24.7,27.22,44.3053476,17.5961467
Botswana,CO2,MtCO2e,48.58,48.64,48.66,47.96,48.28,48.32,46.76,44.75,45.22,44.71,45.53,45.75,45.67,45.44,45.63,45.33,45.24,45.34,45.17,45.33,45.13,44.91,44.28,44.13,44.41,44.3,44.47,44.52,43.95,44.03,-23.1681782,24.5928742
Brazil,CO2,MtCO2e,818.6,818.3,840.8,831.37,747.33,773.6,748.83,716.22,680.29,1499.05,1451.12,1474.75,1453.67,1436.74,1432.81,1429.64,1411.85,1418.8,1420.42,1352.16,1339.45,1329.07,1319.81,1300.89,1279.76,1260.97,1253.73,1246.33,1243.94,1236.37,-10.3333333,-53.2
Brunei,CO2,MtCO2e,7.32,7.87,7.61,7.34,6.77,7.48,7.55,7.64,7.68,8.42,9.14,9.17,8.4,8.78,6.28,6.39,6.92,5.92,6.06,6.04,5.74,8.95,6.72,6.19,6.13,5.78,5.45,5.1,4.9,4.78,4.4137155,114.5653908
Bulgaria,CO2,MtCO2e,5.34,7.09,10.08,7.78,32.44,29.94,27.55,32.91,37.53,21.18,19.35,26.48,29.05,25.4,24.44,23.72,24.39,20.05,22.64,21.66,22.56,28.72,31.24,33.54,33.13,31.97,34.17,33.61,37.07,51.85,42.6073975,25.4856617
Burkina Faso,CO2,MtCO2e,29.11,28.77,28.37,27.8,9.57,9.05,9.0,8.81,8.33,18.74,18.18,18.15,17.86,17.69,17.52,17.51,17.49,17.41,17.42,13.2,13.15,13.02,12.95,12.89,12.83,12.8,12.79,12.78,12.77,12.76,12.0753083,-1.6880314
Burundi,CO2,MtCO2e,4.2,4.16,4.02,3.94,-1.01,-1.03,-1.02,-1.04,-1.05,3.84,3.71,3.72,3.72,3.72,3.69,3.67,3.69,3.74,3.73,5.86,5.84,5.77,5.75,5.72,5.7,5.58,5.58,5.57,5.6,5.56,-3.426449,29.9324519
