Country,Gas,Unit,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,Latitude,Longitude
Afghanistan,F-Gas,MtCO2e,1.17,1.02,0.87,0.71,0.56,0.5,0.43,0.37,0.3,0.23,0.21,0.19,0.17,0.14,0.12,0.11,0.11,0.1,0.1,0.09,0.08,0.06,0.05,0.03,0.02,0.02,0.01,0.01,0.01,0.01,33.7680065,66.2385139
Albania,F-Gas,MtCO2e,0.23,0.25,0.27,0.29,0.31,0.31,0.31,0.31,0.31,0.31,0.28,0.25,0.22,0.19,0.16,0.15,0.15,0.14,0.13,0.12,0.11,0.09,0.07,0.05,0.03,0.03,0.02,0.02,0.01,0.01,41.000028,19.9999619
Algeria,F-Gas,MtCO2e,5.8,5.58,5.36,5.15,4.93,4.78,4.62,4.47,4.32,4.17,3.69,3.21,2.73,2.25,1.78,1.52,1.26,1.0,0.74,0.48,0.4,0.33,0.26,0.19,0.11,0.11,0.1,0.1,0.09,0.09,28.0000272,2.9999825
Andorra,F-Gas,MtCO2e,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,42.5407167,1.5732033
Angola,F-Gas,MtCO2e,0.47,0.44,0.4,0.37,0.33,0.3,0.27,0.24,0.21,0.18,0.16,0.14,0.13,0.11,0.09,0.08,0.08,0.07,0.07,0.06,0.05,0.05,0.04,0.03,0.02,0.01,0.01,0.01,0.01,0.01,-11.8775768,17.5691241
Antigua and Barbuda,F-Gas,MtCO2e,0.49,0.46,0.44,0.41,0.39,0.38,0.37,0.36,0.35,0.34,0.31,0.27,0.23,0.2,0.16,0.15,0.13,0.11,0.1,0.08,0.07,0.05,0.04,0.03,0.02,0.01,0.01,0.01,0.0,0.0,17.2234721,-61.9554608
Argentina,F-Gas,MtCO2e,23.63,22.46,21.29,20.12,18.95,18.16,17.36,16.56,15.76,14.97,12.99,11.02,9.04,7.06,5.09,4.74,4.4,4.05,3.71,3.36,2.95,2.53,2.11,1.67,1.22,1.14,1.31,1.48,1.66,1.83,-34.9964963,-64.9672817
Armenia,F-Gas,MtCO2e,0.2,0.21,0.23,0.24,0.26,0.26,0.26,0.26,0.26,0.25,0.24,0.22,0.2,0.19,0.17,0.16,0.14,0.13,0.11,0.1,0.09,0.07,0.06,0.04,0.03,0.01,0.01,0.01,0.0,0.0,40.7696272,44.6736646
Australia,F-Gas,MtCO2e,12.51,12.92,13.34,13.76,13.22,12.63,11.94,11.34,10.75,9.9,8.91,8.13,7.16,6.25,6.99,6.21,5.49,4.88,4.32,3.11,2.9,3.26,2.74,2.83,2.84,3.48,5.42,6.19,6.27,6.25,-24.7761086,134.755
Austria,F-Gas,MtCO2e,1.38,1.51,1.64,1.77,1.76,1.73,1.64,1.62,1.56,1.66,1.45,1.64,1.61,1.55,1.52,1.73,1.6,1.45,1.38,1.18,1.18,1.24,1.43,1.4,1.28,1.19,1.16,0.98,1.63,1.52,47.59397,14.12456
Azerbaijan,F-Gas,MtCO2e,0.5,0.48,0.46,0.44,0.42,0.4,0.38,0.36,0.35,0.33,0.31,0.29,0.28,0.26,0.24,0.21,0.18,0.15,0.12,0.1,0.09,0.09,0.08,0.08,0.07,0.02,0.01,0.01,0.0,0.0,40.3936294,47.7872508
Bahamas,F-Gas,MtCO2e,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,24.7736546,-78.0000547
