,country,sector,gas,emissions_quantity,year
441,AGO,oil-and-gas-production-and-transport,co2,21096064.82,2015
442,AGO,oil-and-gas-production-and-transport,ch4,829370.6043,2015
443,AGO,oil-and-gas-production-and-transport,co2e_100yr,45811308.83,2015
444,AGO,oil-and-gas-production-and-transport,co2e_20yr,93875607.0,2015
445,ALB,oil-and-gas-production-and-transport,co2,366275.7397,2015
446,ALB,oil-and-gas-production-and-transport,ch4,7826.562163,2015
447,ALB,oil-and-gas-production-and-transport,co2e_100yr,599507.2921,2015
448,ALB,oil-and-gas-production-and-transport,co2e_20yr,1120087.918,2015
449,ARG,oil-and-gas-production-and-transport,co2,36177689.89,2015
450,ARG,oil-and-gas-production-and-transport,ch4,789113.818,2015
451,ARG,oil-and-gas-production-and-transport,co2e_100yr,59693281.66,2015
452,ARG,oil-and-gas-production-and-transport,co2e_20yr,112531554.1,2015
453,AZE,oil-and-gas-production-and-transport,co2,13642568.44,2015
454,AZE,oil-and-gas-production-and-transport,ch4,369024.2338,2015
455,AZE,oil-and-gas-production-and-transport,co2e_100yr,24639490.61,2015
456,AZE,oil-and-gas-production-and-transport,co2e_20yr,49411978.98,2015
457,BEN,oil-and-gas-production-and-transport,co2,7621.1388,2015
458,BEN,oil-and-gas-production-and-transport,ch4,439.6998439,2015
459,BEN,oil-and-gas-production-and-transport,co2e_100yr,20724.19415,2015
460,BEN,oil-and-gas-production-and-transport,co2e_20yr,46070.84744,2015
461,BGD,oil-and-gas-production-and-transport,co2,2630379.406,2015
462,BGD,oil-and-gas-production-and-transport,ch4,190441.9661,2015
463,BGD,oil-and-gas-production-and-transport,co2e_100yr,8305549.995,2015
464,BGD,oil-and-gas-production-and-transport,co2e_20yr,19121788.2,2015
465,BGR,oil-and-gas-production-and-transport,co2,50456.35138,2015
466,BGR,oil-and-gas-production-and-transport,ch4,1541.7814,2015
467,BGR,oil-and-gas-production-and-transport,co2e_100yr,96401.4371,2015
468,BGR,oil-and-gas-production-and-transport,co2e_20yr,186496.9122,2015
469,BHR,oil-and-gas-production-and-transport,co2,5201011.847,2015
470,ARE,oil-and-gas-production-and-transport,co2,57219545.83,2015
471,ARE,oil-and-gas-production-and-transport,ch4,1297102.011,2015
472,ARE,oil-and-gas-production-and-transport,co2e_100yr,95873185.75,2015
473,ARE,oil-and-gas-production-and-transport,co2e_20yr,185735827.2,2015
474,AUS,oil-and-gas-production-and-transport,co2,32254669.63,2015
475,AUS,oil-and-gas-production-and-transport,ch4,848060.2337,2015
