Country code,Country name,Series code,Series name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AGO,Angola,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",172.978279352547,179.271884079676,193.632182661972,266.31837906149,260.830190038975,237.623933920932,221.197556721755,210.613712999736,197.782663612577,201.808972556292,202.509044252484,206.284244330423,188.820180669152,195.884892215494,191.53640037853,151.650655985503,138.930107460174,121.605309175941,114.491899369617,116.923619722302,
ALB,Albania,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",206.751128014461,205.474930620026,160.75076863207,143.724938579798,141.201086613925,117.045071749185,114.545753062001,108.907732562531,104.270061363532,127.143773085336,119.686071729954,113.177881705061,122.136193330378,120.069422737088,110.052853345427,118.57410059015,106.51373007933,99.6826197483292,89.9795475487655,72.3389458538513,
ARE,United Arab Emirates,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",214.318642703289,245.977706132853,227.818578037665,241.743691705723,249.831585820271,245.909665476524,261.711232485499,242.208887343358,241.074973098444,238.009692353731,237.781569671556,254.042342775277,268.409167858838,237.471808715421,228.605481498919,215.80102096071,208.922072381675,223.706279180649,240.50921522319,247.132031891895,
ARG,Argentina,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",189.247911555867,173.122857268895,162.694128374235,153.552750885193,155.259927068204,161.302663970805,157.566965432172,153.434912196094,151.649994121592,157.844244779683,160.516265428014,159.328821451726,171.236624855142,167.733074783446,175.353199390355,159.819198680139,160.571475390928,148.847886257457,144.833258618587,139.639613638977,
ARM,Armenia,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",739.537683908867,882.756696554814,769.744983856458,446.765077204931,265.614299972825,296.933739120521,303.967929453683,307.660154213578,292.099379763579,273.350147510956,283.909881366547,258.322931470771,213.350943020533,197.442983820378,188.919512707269,199.454564655569,179.08744585767,175.940044074439,173.330174698944,175.503032206268,
AUS,Australia,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",210.715232352009,208.686644459616,211.314309371615,213.599384506252,205.88713921263,200.62622616134,205.872211600209,202.834036319809,199.306314437243,193.642975753966,189.650075704157,183.763120019128,184.791155342166,181.683592351694,175.367851785207,179.331690392794,177.96581184313,175.173410655203,174.897113572899,174.89755929559,
AUT,Austria,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",125.225570633711,128.939159582508,121.614503026959,122.424205217278,119.477875405561,121.789666894631,126.5310535852,123.184616080741,121.015916296114,116.938441344426,112.503744277687,118.529045270396,117.743824669592,123.370371236881,121.262877196139,123.546486492166,118.584853969975,112.670671397995,110.976014804952,109.160764587332,111.822719222165
AZE,Azerbaijan,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",770.898440090743,725.646348468099,791.079543033193,867.530959885232,985.750116439057,895.974288305533,816.666019234469,737.952115833443,709.153759568971,613.436497919776,570.570925268749,517.367658552324,470.395783364046,442.675071856174,423.625610629914,367.623060245268,266.321183659979,191.715978070926,189.707664303749,155.72584208756,
BEL,Belgium,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",193.197389095272,198.748529621297,197.988221177126,195.229672594139,200.092181927184,198.788677581842,206.884160440424,199.641473347514,199.103546781778,193.728779170714,187.911128814195,185.988545538966,177.185443291787,184.774648861068,177.931055785197,174.322823324477,168.097781091374,160.269119727345,162.999658572306,163.716678927347,159.053048128973
BEN,Benin,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",311.595089068163,302.083961679656,297.604971376383,294.24528539165,288.047072486136,281.410778355397,310.467845188817,303.458931614495,286.338689570838,285.295495268034,232.836522398277,235.827501470142,243.208907955629,247.00281675756,248.937685704261,242.766109874046,275.160763413342,285.993507123573,278.256778591013,284.026806844974,
