iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
AGO,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-production-and-transport,n2o,0,tonnes,annual,2022-09-05 15:48:05.453485,
TON,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,,tonnes,annual,2022-09-05 15:48:05.698281,
TON,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,,tonnes,annual,2022-09-05 15:48:05.698292,
TON,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,,tonnes,annual,2022-09-05 15:48:05.698302,
TON,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,,tonnes,annual,2022-09-05 15:48:05.698308,
HUN,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,,tonnes,annual,2022-09-05 15:48:05.698418,
HUN,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,,tonnes,annual,2022-09-05 15:48:05.698423,
HUN,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,,tonnes,annual,2022-09-05 15:48:05.698433,
HUN,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,,tonnes,annual,2022-09-05 15:48:05.698438,
TKL,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,,tonnes,annual,2022-09-05 15:48:05.698553,
TKL,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,,tonnes,annual,2022-09-05 15:48:05.698558,
TKL,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,,tonnes,annual,2022-09-05 15:48:05.698568,
TKL,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,,tonnes,annual,2022-09-05 15:48:05.698573,
HMD,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,,tonnes,annual,2022-09-05 15:48:05.698681,
HMD,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,,tonnes,annual,2022-09-05 15:48:05.698692,
HMD,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,,tonnes,annual,2022-09-05 15:48:05.698703,
HMD,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,,tonnes,annual,2022-09-05 15:48:05.698709,
DOM,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,,tonnes,annual,2022-09-05 15:48:05.698819,
DOM,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,,tonnes,annual,2022-09-05 15:48:05.698824,
DOM,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,,tonnes,annual,2022-09-05 15:48:05.698834,
DOM,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,,tonnes,annual,2022-09-05 15:48:05.698839,
REU,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,,tonnes,annual,2022-09-05 15:48:05.698954,
REU,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,,tonnes,annual,2022-09-05 15:48:05.69896,
REU,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,,tonnes,annual,2022-09-05 15:48:05.698971,
REU,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,,tonnes,annual,2022-09-05 15:48:05.698976,
ALA,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,,tonnes,annual,2022-09-05 15:48:05.69909,
ALA,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,,tonnes,annual,2022-09-05 15:48:05.699096,
ALA,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,,tonnes,annual,2022-09-05 15:48:05.699107,
ALA,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,,tonnes,annual,2022-09-05 15:48:05.699113,
NIU,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,,tonnes,annual,2022-09-05 15:48:05.699221,
NIU,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,,tonnes,annual,2022-09-05 15:48:05.699226,
NIU,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,,tonnes,annual,2022-09-05 15:48:05.699236,
NIU,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,,tonnes,annual,2022-09-05 15:48:05.699243,
CZE,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,,tonnes,annual,2022-09-05 15:48:05.699357,
CZE,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,,tonnes,annual,2022-09-05 15:48:05.699363,
CZE,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,,tonnes,annual,2022-09-05 15:48:05.699375,
CZE,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,,tonnes,annual,2022-09-05 15:48:05.699382,
AFG,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,,tonnes,annual,2022-09-05 15:48:05.699505,
AFG,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,,tonnes,annual,2022-09-05 15:48:05.69951,
AFG,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,,tonnes,annual,2022-09-05 15:48:05.699521,
AFG,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,,tonnes,annual,2022-09-05 15:48:05.699531,
TCA,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,,tonnes,annual,2022-09-05 15:48:05.699642,
TCA,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,,tonnes,annual,2022-09-05 15:48:05.699647,
TCA,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,,tonnes,annual,2022-09-05 15:48:05.699659,
TCA,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,,tonnes,annual,2022-09-05 15:48:05.699664,
CPV,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,,tonnes,annual,2022-09-05 15:48:05.699772,
CPV,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,,tonnes,annual,2022-09-05 15:48:05.699777,
CPV,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,,tonnes,annual,2022-09-05 15:48:05.699787,
CPV,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,,tonnes,annual,2022-09-05 15:48:05.699792,
GUF,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,,tonnes,annual,2022-09-05 15:48:05.700038,
GUF,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,,tonnes,annual,2022-09-05 15:48:05.700044,
GUF,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,,tonnes,annual,2022-09-05 15:48:05.700056,
GUF,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,,tonnes,annual,2022-09-05 15:48:05.700061,
ERI,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,,tonnes,annual,2022-09-05 15:48:05.700177,
ERI,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,,tonnes,annual,2022-09-05 15:48:05.700182,
ERI,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,,tonnes,annual,2022-09-05 15:48:05.700192,
ERI,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,,tonnes,annual,2022-09-05 15:48:05.700198,
VAT,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2,,tonnes,annual,2022-09-05 15:48:05.700309,
VAT,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,,tonnes,annual,2022-09-05 15:48:05.700315,
VAT,2021-01-01 00:00:00,2021-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,,tonnes,annual,2022-09-05 15:48:05.700326,
