country_name,country_code,year,forest_area_in_per,cereal_yield,electricity_access_percent,renewable_energy_consumption,fossil_energy_use,energy_use_per_capita,emissions_total,emissions_per_capita,emissions_per_gdp,methane_emissions(kt_CO2_emissions),nitrous_oxide_emissions(mt_CO2_emissions),gdp_per_capita,pop_0014_percent,pop_1564_percent,pop_65up_percent,pop_growth_percent,pop_total,urban_pop_total,urban_pop_percent
Zimbabwe,ZWE,1992,48.4284347938477,412.1,28.2,64.3682917436937,47.342491172918,956.315843037556,18470.0,1.73565740396961,1.00255575985601,9329.99992370605,5350.0,634.447358507038,47.0120615503396,49.8714185151136,3.11651993454683,2.50911907765175,10641501.0,3245551.0,30.499
Zimbabwe,ZWE,1993,48.3093447072509,1502.0,31.163667678833,64.4177523959703,45.778389306456,901.895966231517,17080.0,1.58222600671909,0.896216172371751,7800.00019073486,4720.0,608.046610451325,46.7664460258059,50.0705285579752,3.163025416219,1.43139224361787,10794918.0,3339948.0,30.94
Zimbabwe,ZWE,1994,48.190254620654,1134.5,28.1,68.5272061513798,43.7270589335565,890.177126062546,15960.0,1.46980354915194,0.750617696021414,8470.00026702881,4890.0,634.58261723387,46.299705099942,50.4752779227219,3.22501697733611,0.588137236572384,10858594.0,3402540.0,31.335
Zimbabwe,ZWE,1995,48.0711645340571,548.2,31.948579788208,67.0622639174238,43.564073223638,895.133918456371,15480.0,1.40803549850323,0.711964852231621,8869.99988555908,4790.0,646.829559758782,45.636161187858,51.1142012698424,3.24963754229962,1.23965585440755,10994041.0,3488629.0,31.732
Zimbabwe,ZWE,1996,47.9520744474603,1258.7,32.3372955322266,66.7383275174499,42.0693009232681,876.686713774552,14860.0,1.32937669319963,0.608151947659674,10340.0001525879,5830.0,765.165124061888,44.7777055834984,51.9818447937502,3.24044962275134,1.66094598986875,11178171.0,3591770.0,32.132
Zimbabwe,ZWE,1997,47.8329843608634,1054.2,32.7226104736328,67.3858196025087,40.0599736370783,853.891972304093,13830.0,1.21717232123739,0.541878386376627,10449.9998092651,5670.0,750.683909149131,43.8995048713954,52.8870327280725,3.21346240053214,1.6346887957256,11362401.0,3696644.0,32.534
Zimbabwe,ZWE,1998,47.7138942742665,1016.6,33.1038475036621,67.8388025481349,39.7790053022652,859.69068865512,14070.0,1.21835439201605,0.529858573784134,11140.0003433228,5950.0,554.361483583302,43.0902074094651,53.7379623641929,3.17183022634202,1.62340353192012,11548364.0,3803916.0,32.939
Zimbabwe,ZWE,1999,47.5948041876696,1069.0,38.4,64.4125355692959,41.5316173353775,903.663855975537,15820.0,1.35023787913988,0.592326558408302,11670.0000762939,6150.0,585.331799194534,42.4365195119394,54.4406885205759,3.1227919674847,1.44503967279215,11716454.0,3907086.0,33.347
Zimbabwe,ZWE,2000,47.4757141010728,1159.5,33.6548881530762,69.26,37.0220024856745,845.697085412393,13700.0,1.15761513031704,0.517415339572649,11649.9996185303,5670.0,565.284389703613,42.0040505543181,54.9202591215738,3.07569032410814,1.0039687523875,11834676.0,3995150.0,33.758
Zimbabwe,ZWE,2001,47.3566240144759,1193.9,34.1728439331055,71.53,37.0955744046918,838.0164080565,13900.0,1.1669906534963,0.506116018379033,11840.0001525879,5810.0,569.003208636604,41.7984334199271,55.1716599246367,3.02990665543613,0.642662969955232,11910978.0,4069981.0,34.17
