Sector,Gas,Unit,Year,Emission
Energy,CO2,MtCO₂e,2019,4776.82
Electricity/Heat,CO2,MtCO₂e,2019,1958.27
Transportation,CO2,MtCO₂e,2019,1757.35
Building,CO2,MtCO₂e,2019,550.59
Manufacturing/Construction,CO2,MtCO₂e,2019,439.05
Energy,CH4,MtCO₂e,2019,414.5
Agriculture,CH4,MtCO₂e,2019,202.14
Agriculture,N2O,MtCO₂e,2019,179.7
Industrial Processes,F-Gas,MtCO₂e,2019,174.03
Energy,N2O,MtCO₂e,2019,55.04
Transportation,N2O,MtCO₂e,2019,45.51
Industrial Processes,CO2,MtCO₂e,2019,40.9
Industrial Processes,N2O,MtCO₂e,2019,23.45
Transportation,CH4,MtCO₂e,2019,12.81
Electricity/Heat,N2O,MtCO₂e,2019,6.06
Building,CH4,MtCO₂e,2019,5.85
Manufacturing/Construction,N2O,MtCO₂e,2019,2.18
Manufacturing/Construction,CH4,MtCO₂e,2019,1.37
Electricity/Heat,CH4,MtCO₂e,2019,1.23
Building,N2O,MtCO₂e,2019,1.14
Industrial Processes,CH4,MtCO₂e,2019,0.28
Energy,CO2,MtCO₂e,2018,4936.34
Electricity/Heat,CO2,MtCO₂e,2018,2096.77
Transportation,CO2,MtCO₂e,2018,1762.24
Building,CO2,MtCO₂e,2018,550.68
Manufacturing/Construction,CO2,MtCO₂e,2018,454.06
Energy,CH4,MtCO₂e,2018,380.21
Agriculture,CH4,MtCO₂e,2018,202.39
Agriculture,N2O,MtCO₂e,2018,181.6
Industrial Processes,F-Gas,MtCO₂e,2018,169.66
Energy,N2O,MtCO₂e,2018,56.19
Transportation,N2O,MtCO₂e,2018,45.8
Industrial Processes,CO2,MtCO₂e,2018,38.97
Industrial Processes,N2O,MtCO₂e,2018,22.76
Transportation,CH4,MtCO₂e,2018,12.85
Electricity/Heat,N2O,MtCO₂e,2018,6.95
Building,CH4,MtCO₂e,2018,5.24
Manufacturing/Construction,N2O,MtCO₂e,2018,2.23
Manufacturing/Construction,CH4,MtCO₂e,2018,1.4
Electricity/Heat,CH4,MtCO₂e,2018,1.29
Building,N2O,MtCO₂e,2018,1.05
Industrial Processes,CH4,MtCO₂e,2018,0.28
Energy,CO2,MtCO₂e,2017,4779.05
Electricity/Heat,CO2,MtCO₂e,2017,2064.52
Transportation,CO2,MtCO₂e,2017,1724.02
Building,CO2,MtCO₂e,2017,497.9
Manufacturing/Construction,CO2,MtCO₂e,2017,429.41
Energy,CH4,MtCO₂e,2017,343.81
Agriculture,CH4,MtCO₂e,2017,198.84
Agriculture,N2O,MtCO₂e,2017,182.02
Industrial Processes,F-Gas,MtCO₂e,2017,165.29
Energy,N2O,MtCO₂e,2017,54.93
Transportation,N2O,MtCO₂e,2017,44.69
Industrial Processes,CO2,MtCO₂e,2017,40.32
Industrial Processes,N2O,MtCO₂e,2017,22.07
Transportation,CH4,MtCO₂e,2017,12.8
Electricity/Heat,N2O,MtCO₂e,2017,7.18
Building,CH4,MtCO₂e,2017,4.25
Manufacturing/Construction,N2O,MtCO₂e,2017,2.03
Manufacturing/Construction,CH4,MtCO₂e,2017,1.27
Electricity/Heat,CH4,MtCO₂e,2017,1.26
Building,N2O,MtCO₂e,2017,0.88
Industrial Processes,CH4,MtCO₂e,2017,0.28
Energy,CO2,MtCO₂e,2016,4855.06
Electricity/Heat,CO2,MtCO₂e,2016,2145.51
Transportation,CO2,MtCO₂e,2016,1711.22
Building,CO2,MtCO₂e,2016,496.47
Manufacturing/Construction,CO2,MtCO₂e,2016,439.02
Energy,CH4,MtCO₂e,2016,329.48
Agriculture,CH4,MtCO₂e,2016,198.21
Agriculture,N2O,MtCO₂e,2016,183.25
Industrial Processes,F-Gas,MtCO₂e,2016,160.92
Energy,N2O,MtCO₂e,2016,55.16
Transportation,N2O,MtCO₂e,2016,44.67
Industrial Processes,CO2,MtCO₂e,2016,39.44
Industrial Processes,N2O,MtCO₂e,2016,21.38
Transportation,CH4,MtCO₂e,2016,12.87
Electricity/Heat,N2O,MtCO₂e,2016,7.37
Building,CH4,MtCO₂e,2016,4.54
Manufacturing/Construction,N2O,MtCO₂e,2016,2.03
Manufacturing/Construction,CH4,MtCO₂e,2016,1.26
Electricity/Heat,CH4,MtCO₂e,2016,1.3
Building,N2O,MtCO₂e,2016,0.93
Industrial Processes,CH4,MtCO₂e,2016,0.28
Energy,CO2,MtCO₂e,2015,4950.8
Electricity/Heat,CO2,MtCO₂e,2015,2234.02
Transportation,CO2,MtCO₂e,2015,1700.05
Building,CO2,MtCO₂e,2015,512.54
Manufacturing/Construction,CO2,MtCO₂e,2015,433.88
Energy,CH4,MtCO₂e,2015,349.84
Agriculture,CH4,MtCO₂e,2015,191.76
Agriculture,N2O,MtCO₂e,2015,178.31
Industrial Processes,F-Gas,MtCO₂e,2015,161.05
Energy,N2O,MtCO₂e,2015,55.04
Transportation,N2O,MtCO₂e,2015,43.94
Industrial Processes,CO2,MtCO₂e,2015,39.91
Industrial Processes,N2O,MtCO₂e,2015,20.04
Transportation,CH4,MtCO₂e,2015,12.65
Electricity/Heat,N2O,MtCO₂e,2015,7.88
Building,CH4,MtCO₂e,2015,5.14
Manufacturing/Construction,N2O,MtCO₂e,2015,2.04
